id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,M,1.4375,1.1125,0.35,22.4811535,9.752228,4.77689075,6.23689,10.0
1,F,1.275,0.9625,0.275,20.638436,9.015141,3.84135725,4.9611625,9.0
2,M,1.5625,1.225,0.4,32.13415825,16.7545545,7.27164675,8.0796075,9.0
3,M,1.55,1.2,0.4125,32.16250775,14.67086625,6.93145275,8.6465975,10.0
4,I,1.1,0.825,0.2625,10.21999475,4.32329875,2.08368825,3.5436875,8.0
5,I,1.5,1.175,0.35,26.12406425,10.035723,6.0384435,8.0796075,9.0
6,I,0.45,0.3375,0.125,0.9922325,0.35436875,0.226796,0.1984465,5.0
7,F,1.2625,0.975,0.375,21.8007655,7.10154975,4.43669675,8.221355,9.0
8,M,1.625,1.3125,0.4375,44.55123925,18.540573,10.035723,11.72251825,11.0
9,M,1.55,1.2,0.45,36.967748,16.6978555,8.43397625,9.7805775,10.0
10,I,0.45,0.3375,0.125,0.92135875,0.35436875,0.1417475,0.29766975,5.0
11,I,1.425,1.0875,0.4,22.75047375,10.035723,4.49339575,6.23689,10.0
12,I,1.075,0.85,0.2625,11.60912025,4.9611625,2.608154,3.685435,6.0
13,M,1.2125,0.95,0.3,14.92601175,6.293589,3.86970675,4.252425,9.0
14,F,1.55,1.2,0.4375,36.967748,17.8885345,8.9867915,10.0640725,8.0
15,M,1.175,0.9,0.375,14.855138,6.13766675,3.47281375,4.1106775,7.0
16,F,1.3,1.0125,0.3125,21.9708625,11.35397475,4.252425,5.9250455,9.0
17,F,1.525,1.175,0.4125,31.22697425,11.453198,6.30776375,8.6465975,16.0
18,M,1.575,1.2625,0.4,34.37376875,17.4349425,7.824462,8.9300925,11.0
19,I,0.7125,0.5375,0.1875,3.38776525,1.63009625,0.77961125,0.9922325,5.0
20,I,1.1625,0.9,0.275,12.34620725,5.74077375,2.948348,3.175144,7.0
21,F,1.6,1.25,0.4125,35.50774875,16.8112535,8.63242275,9.8372765,9.0
22,F,1.3875,1.125,0.3625,22.5378525,7.2858215,4.9044635,7.654365,14.0
23,I,1.1875,0.9125,0.2625,13.60776,5.4147545,2.8066005,3.89805625,7.0
24,F,1.125,0.875,0.2875,14.4865945,5.4147545,3.4869885,5.23048275,10.0
25,M,1.55,1.2125,0.4375,33.6508565,13.834556,7.654365,10.489315,10.0
26,I,1.15,0.9,0.2625,14.64251675,6.350288,3.288542,4.53592,8.0
27,F,1.3,0.9875,0.3375,15.35125425,6.98815175,3.52951275,5.2446575,8.0
28,M,1.6125,1.225,0.475,39.22153325,13.891255,8.278054,11.623295,11.0
29,F,1.425,1.125,0.425,24.79163775,8.0229085,6.59125875,7.2291225,11.0
30,F,1.4875,1.1625,0.375,25.741346,9.87980075,5.6415505,7.2291225,12.0
31,F,1.3125,1.0,0.3,23.09066775,11.35397475,4.649318,5.5281525,9.0
32,M,1.375,1.075,0.35,20.17066925,9.42620875,4.706017,6.0951425,8.0
33,F,1.6,1.2625,0.4125,39.179009,19.06503875,9.00096625,9.355335,9.0
34,F,1.2875,0.975,0.375,20.36911575,9.31281075,3.7137845,4.819415,9.0
35,F,1.65,1.25,0.425,41.5887165,19.6462035,8.68912175,9.07184,9.0
36,M,1.675,1.3125,0.3875,35.6920205,14.35902175,8.391452,9.07184,10.0
37,F,1.7,1.25,0.4875,40.25629,13.60776,10.432616,12.85649825,12.0
38,M,1.5,1.15,0.375,29.1149365,11.0846545,6.010094,8.0796075,10.0
39,M,1.3125,1.0375,0.375,23.00561925,7.10154975,4.32329875,5.5281525,11.0
40,F,1.6125,1.3,0.475,41.39027,16.68368075,8.901743,11.7650425,12.0
41,M,1.45,1.125,0.4875,26.988724,10.75863525,5.5848515,9.07184,13.0
42,M,1.325,1.025,0.35,20.97863,8.20718025,4.66349275,5.20213325,12.0
43,M,1.45,1.15,0.3875,28.973189,12.79979925,4.63514325,7.7961125,10.0
44,F,1.6375,1.3125,0.4875,38.82464025,17.6617385,7.6827145,10.77281,10.0
45,I,0.8,0.575,0.1625,4.60679375,2.0128145,1.00640725,1.13398,7.0
46,I,1.425,1.125,0.3625,26.365035,10.149121,6.93145275,7.5126175,12.0
47,M,0.825,0.6625,0.225,5.85417175,2.19708625,0.89300925,1.8427175,10.0
48,I,0.8875,0.65,0.2,5.31553125,2.79242575,1.37495075,1.984465,6.0
49,F,1.35,1.025,0.3875,22.8213475,7.3992195,4.309124,10.0640725,13.0
50,F,1.6125,1.275,0.475,37.23706825,16.159215,7.98038425,11.509897,13.0
51,I,0.9,0.675,0.225,6.13766675,3.061746,1.48834875,1.871067,6.0
52,I,1.0125,0.8125,0.3125,9.34116025,3.58621175,1.97029025,4.1106775,9.0
53,M,1.2375,0.9625,0.275,18.12950525,8.34892775,3.98310475,5.499803,9.0
54,F,1.4125,1.1875,0.3875,29.1716355,14.2030995,6.3786375,8.448151,10.0
55,M,1.775,1.4125,0.4875,52.34735175,22.69377475,10.3475675,14.78426425,12.0
56,F,1.5625,1.225,0.475,32.16250775,12.3320325,6.90310325,9.922325,13.0
57,I,1.2125,0.925,0.3125,15.4504775,7.3992195,2.3530085,3.81300775,8.0
58,F,1.6375,1.2875,0.425,37.32211675,16.85377775,7.4559185,11.1980525,10.0
59,M,1.5375,1.1875,0.4375,32.02076025,15.06775925,7.81028725,8.6465975,8.0
60,M,1.775,1.4125,0.5375,62.21297775,21.36134825,12.94154675,25.0893075,14.0
61,I,0.7,0.525,0.2,3.38776525,1.2757275,0.75126175,0.850485,6.0
62,M,1.4,1.1,0.3375,23.79940525,9.62465525,5.14543425,6.6621325,11.0
63,F,1.4125,1.1,0.4,29.0582375,14.685041,6.13766675,7.087375,10.0
64,I,0.9625,0.75,0.2375,9.63883,4.0539785,1.8427175,2.08368825,6.0
65,F,1.375,1.0875,0.3875,24.73493875,9.48290775,5.499803,7.087375,12.0
66,M,1.4125,1.1125,0.4125,23.51591025,9.525432,5.68407475,7.7961125,9.0
67,M,1.775,1.4125,0.5,49.384829,18.63979625,7.711064,19.12173775,16.0
68,I,0.95,0.75,0.25,7.72523875,3.2601925,1.8427175,2.4097075,8.0
69,I,0.7875,0.575,0.175,4.082328,1.5025235,0.963883,1.13398,3.0
70,M,0.9375,0.7,0.2375,6.1518415,2.721552,1.31825175,1.984465,7.0
71,I,0.6875,0.5125,0.175,3.16096925,1.6159215,0.80796075,0.97805775,6.0
72,M,1.5,1.2125,0.4,29.44095575,12.88484775,6.78970525,8.9300925,17.0
73,F,1.2625,1.0125,0.3375,17.90270925,6.7755305,4.09650275,6.80388,13.0
74,M,1.425,1.125,0.3625,26.365035,11.566596,6.860579,6.23689,8.0
75,F,1.5625,1.2125,0.4375,31.18445,14.67086625,6.8889285,8.3631025,9.0
76,I,0.925,0.6875,0.225,7.3425205,3.458639,1.48834875,2.4097075,7.0
77,I,1.1,0.825,0.275,11.169703,5.71242425,2.721552,2.721552,7.0
78,M,1.6375,1.35,0.45,38.00250475,17.0097,8.63242275,10.4042665,11.0
79,M,1.6,1.2,0.4,29.32755775,12.0485375,6.30776375,10.20582,10.0
80,M,1.225,0.9125,0.3125,11.169703,4.9611625,2.14038725,4.1106775,11.0
81,I,0.6875,0.4875,0.2,2.82077525,1.077281,0.52446575,0.850485,6.0
82,I,1.375,1.075,0.35,19.43358225,8.334753,3.86970675,6.80388,10.0
83,I,1.0125,0.775,0.225,9.6104805,4.706017,2.324659,2.6932025,6.0
84,F,1.525,1.1625,0.325,28.42037375,16.0174675,5.74077375,6.917278,11.0
85,I,1.4125,1.075,0.3625,22.5378525,10.149121,4.91863825,6.93145275,9.0
86,F,1.6625,1.3125,0.45,38.42774725,18.9091165,9.00096625,10.0640725,13.0
87,M,1.5,1.2,0.375,24.84833675,12.65805175,5.159609,6.9456275,8.0
88,F,1.3375,1.1,0.3875,22.38193025,8.3631025,4.3374735,7.12989925,10.0
89,M,1.225,1.0125,0.3375,23.00561925,6.860579,5.25883225,6.520385,15.0
90,M,1.25,0.975,0.3625,17.61921425,7.83863675,5.20213325,4.3941725,9.0
91,M,1.6375,1.2875,0.4375,35.81959325,14.35902175,9.53960675,9.31281075,11.0
92,F,1.4875,1.125,0.3625,26.2232875,11.8784405,5.9817445,7.7961125,10.0
93,F,1.5125,1.1875,0.4625,31.127751,11.12717875,6.22271525,8.9300925,17.0
94,I,1.1,0.8125,0.275,10.27669375,4.94698775,2.53728025,2.83495,8.0
95,F,1.5875,1.25,0.3875,36.55668025,17.93105875,7.881161,9.752228,8.0
96,I,1.25,1.0,0.3125,18.5689225,9.62465525,4.12485225,5.8116475,9.0
97,I,1.5,1.225,0.3875,34.23202125,14.64251675,7.55514175,9.355335,10.0
98,I,1.0625,0.75,0.25,7.994559,3.44446425,1.7293195,2.26796,6.0
99,M,1.6,1.225,0.425,29.937072,13.16834275,7.087375,8.0796075,11.0
100,I,1.375,1.0625,0.2625,15.35125425,6.0951425,2.8066005,4.819415,9.0
101,M,1.375,1.025,0.3375,20.1564945,9.90815025,4.01145425,5.499803,8.0
102,I,0.9625,0.7,0.25,7.81028725,3.69960975,1.7293195,2.211261,7.0
103,F,1.6125,1.2875,0.4125,37.83240775,16.93882625,8.901743,9.4970825,9.0
104,I,1.425,1.1,0.325,24.323871,12.28950825,4.86193925,6.3786375,9.0
105,F,1.1,0.8375,0.2875,11.77921725,4.86193925,2.608154,3.685435,11.0
106,I,1.25,0.975,0.35,16.31513725,6.8889285,3.345241,5.5281525,8.0
107,F,1.3875,1.075,0.375,22.89222125,9.99319875,5.3580555,6.80388,11.0
108,M,1.5875,1.2875,0.475,38.82464025,17.6050395,8.334753,10.3475675,10.0
109,M,1.4,1.075,0.3875,26.2232875,11.793392,6.93145275,6.80388,8.0
110,M,1.5125,1.175,0.45,30.83008125,12.984071,8.3631025,8.9300925,12.0
111,F,1.5125,1.125,0.3875,29.0582375,13.2392165,5.2446575,7.087375,11.0
112,I,0.9625,0.7125,0.25,6.7188315,2.6365035,1.5025235,2.4097075,6.0
113,F,1.4875,1.15,0.4375,29.8520235,11.92096475,6.293589,10.3475675,16.0
114,F,1.4125,1.2375,0.4,30.1922175,11.1413535,4.7343665,10.546014,19.0
115,F,1.5375,1.1875,0.3875,31.127751,15.1102835,7.3425205,8.9300925,11.0
116,M,1.6625,1.325,0.4875,40.86580425,14.911837,9.56795625,13.891255,15.0
117,M,1.125,0.875,0.25,12.47378,5.74077375,2.90582375,3.33106625,7.0
118,F,1.4375,1.1,0.35,25.741346,12.2753335,4.63514325,6.9456275,8.0
119,F,1.5375,1.1875,0.4125,34.23202125,15.025235,8.9300925,9.7805775,10.0
120,M,1.425,1.1125,0.3875,27.895908,13.891255,6.917278,7.654365,10.0
121,I,1.25,0.9375,0.3125,16.839603,7.540967,3.118445,5.10291,9.0
122,I,1.3875,1.025,0.35,21.16290175,9.05766525,4.3374735,6.80388,9.0
123,M,1.125,0.8875,0.2875,13.551061,4.72019175,3.10427025,3.288542,12.0
124,I,0.5875,0.4375,0.2125,3.30271675,1.417475,0.49611625,0.60951425,5.0
125,F,1.4375,1.1875,0.375,25.92561775,10.77281,5.51397775,6.6621325,11.0
126,F,1.6875,1.45,0.4625,48.00987825,23.51591025,9.241937,12.8990225,10.0
127,M,1.5125,1.2,0.4,35.833768,17.70426275,6.16601625,9.02931575,10.0
128,F,1.825,1.4,0.4375,44.395317,25.0893075,10.67358675,11.7650425,13.0
129,M,1.3125,1.05,0.35,21.27629975,9.87980075,4.52174525,5.5281525,8.0
130,M,1.6125,1.2875,0.425,39.8877465,19.731252,8.0229085,11.7650425,10.0
131,I,1.1,0.8875,0.275,12.71475075,5.839997,2.33883375,3.96893,8.0
132,M,1.3,1.025,0.4375,25.51455,7.86698625,4.40834725,7.5126175,15.0
133,M,1.725,1.35,0.4875,49.34230475,20.751834,9.25611175,14.17475,11.0
134,M,1.5625,1.2,0.4625,34.0194,18.92329125,6.406987,9.355335,9.0
135,F,1.5625,1.2125,0.375,32.16250775,14.92601175,7.83863675,8.29222875,8.0
136,I,0.55,0.4,0.125,1.82854275,0.60951425,0.4252425,0.56699,5.0
137,F,1.4375,1.1875,0.425,29.256684,13.19669225,6.6054335,7.5126175,10.0
138,F,1.7,1.375,0.4875,51.2275465,22.69377475,11.566596,13.60776,10.0
139,I,0.675,0.5125,0.1625,3.30271675,1.2190285,0.75126175,0.9922325,5.0
140,F,1.5,1.1875,0.425,31.62386725,14.911837,8.23552975,8.788345,8.0
141,F,1.8,1.45,0.5375,60.214338,25.3161035,11.566596,16.44271,13.0
142,I,0.8875,0.7125,0.2,6.90310325,3.458639,1.247378,1.984465,6.0
143,I,1.0125,0.7625,0.25,7.6827145,3.24601775,1.7293195,2.4097075,7.0
144,F,1.3,1.0,0.3625,20.184844,9.48290775,4.422522,6.23689,10.0
145,M,1.3875,1.0625,0.375,24.8058125,11.793392,4.8477645,6.520385,11.0
146,I,1.375,1.0375,0.3625,21.55979475,7.9095105,3.6003865,7.93786,11.0
147,M,1.6,1.25,0.4375,34.45881725,14.72756525,8.051258,9.2135875,10.0
148,M,1.4125,1.125,0.35,23.23241525,11.15552825,4.12485225,6.520385,9.0
149,M,1.2,0.9375,0.35,14.8834875,6.2652395,3.175144,4.3941725,8.0
150,I,0.8875,0.675,0.225,5.20213325,2.211261,1.417475,1.8427175,7.0
151,I,1.2125,0.9375,0.3,14.458245,5.1312595,3.0333965,4.9611625,9.0
152,F,1.75,1.375,0.475,45.3875495,16.726205,7.47009325,16.159215,18.0
153,F,1.625,1.2375,0.475,39.19318375,12.60135275,6.4353365,11.056305,15.0
154,F,1.3375,1.0875,0.3625,20.14231975,9.42620875,4.49339575,7.087375,8.0
155,F,1.6375,1.3,0.4375,41.4753185,17.0097,8.7032965,11.3398,13.0
156,M,1.525,1.2375,0.4,30.8159065,13.11164375,7.35669525,7.654365,9.0
157,M,1.15,0.875,0.3125,12.2753335,4.74854125,2.87747425,3.75630875,9.0
158,I,1.2,0.925,0.325,14.004653,6.0384435,3.72795925,4.1106775,8.0
159,M,1.4375,1.1875,0.375,27.6407625,13.90542975,5.8683465,6.520385,10.0
160,I,1.225,0.975,0.3125,15.8473705,6.123492,3.9405805,4.8477645,8.0
161,M,1.4,1.1,0.3875,24.5223175,10.41844125,5.8683465,7.7961125,10.0
162,F,1.1625,0.925,0.3,13.84873075,5.6982495,3.58621175,4.3941725,14.0
163,I,0.7625,0.5875,0.1875,4.74854125,1.74349425,1.0489315,1.2757275,6.0
164,F,1.5,1.1875,0.35,36.3157095,17.61921425,6.56290925,8.2497045,10.0
165,I,1.1625,0.9375,0.3125,14.5999925,6.973977,3.2601925,4.53592,8.0
166,F,1.5375,1.3125,0.475,38.00250475,14.35902175,6.36446275,11.90679,18.0
167,F,1.6,1.2875,0.3625,38.11590275,16.68368075,9.00096625,9.00096625,12.0
168,F,1.375,1.075,0.325,22.97726975,10.4609655,3.47281375,6.80388,20.0
169,F,1.5,1.2375,0.475,38.3001745,16.0174675,8.66077225,10.20582,9.0
170,I,1.125,0.8375,0.3125,11.7650425,4.77689075,2.324659,3.35941575,7.0
171,I,1.1875,0.9125,0.3,14.81261375,6.4920355,3.628736,4.592619,9.0
172,M,1.1,0.875,0.3125,13.53688625,5.96756975,3.13261975,4.9611625,10.0
173,I,1.025,0.775,0.225,10.75863525,4.422522,2.041164,2.59397925,6.0
174,M,1.1,0.8375,0.2875,12.3320325,5.4147545,2.5798045,4.1106775,8.0
175,F,1.625,1.2625,0.4125,37.1094955,17.690088,8.60407325,9.07184,9.0
176,I,0.9375,0.7125,0.2375,6.123492,2.31048425,1.4458245,2.1262125,7.0
177,F,1.5375,1.1875,0.4375,31.79396425,14.33067225,7.881161,11.056305,12.0
178,I,1.0125,0.75,0.225,7.10154975,3.458639,1.7293195,2.26796,7.0
179,I,1.1125,0.85,0.3125,11.8217415,4.69184225,2.6932025,3.8271825,6.0
180,I,1.025,0.775,0.25,9.63883,4.63514325,1.97029025,2.551455,6.0
181,M,1.325,1.05,0.325,19.85882475,7.3425205,3.6570855,6.9456275,10.0
182,M,1.575,1.225,0.4,34.79901125,13.60776,6.13766675,9.63883,12.0
183,I,0.9375,0.7125,0.225,7.98038425,2.96252275,1.43164975,2.1262125,7.0
184,M,1.6,1.2625,0.4125,38.6403685,16.329312,8.0796075,9.63883,11.0
185,M,1.3,1.0,0.325,21.659018,9.76640275,4.649318,6.23689,9.0
186,I,1.35,1.075,0.35,21.4605715,10.432616,4.5075705,5.5281525,8.0
187,M,1.3125,1.0625,0.3875,20.5533875,8.66077225,4.66349275,6.520385,11.0
188,M,1.7,1.375,0.5125,44.8772585,20.73765925,10.10659675,12.8990225,9.0
189,M,1.6625,1.2875,0.4625,42.2124055,13.4660125,10.0073735,10.77281,17.0
190,I,1.0,0.775,0.25,8.12213175,3.96893,2.33883375,2.26796,8.0
191,M,1.4125,1.0875,0.3625,27.385617,12.23280925,4.9044635,7.7961125,11.0
192,I,1.275,0.975,0.325,16.68368075,8.68912175,3.27436725,4.20990075,9.0
193,M,1.2125,0.9625,0.3125,16.9246515,6.13766675,3.7137845,5.2446575,9.0
194,M,1.3875,1.0875,0.4,31.19862475,11.49572225,6.67630725,9.4970825,20.0
195,M,1.4,1.125,0.4,26.251637,11.453198,5.896696,7.2291225,12.0
196,F,1.5875,1.2625,0.4125,37.0527965,14.92601175,8.09378225,11.623295,19.0
197,M,1.4875,1.2125,0.4375,34.65726375,15.081934,7.3992195,9.39785925,10.0
198,I,1.2125,0.95,0.3125,15.5071765,6.5487345,3.01922175,4.819415,8.0
199,I,0.925,0.7125,0.2125,6.16601625,2.7499015,1.0489315,1.74349425,7.0
200,F,1.4875,1.175,0.4,32.431828,15.762322,7.58349125,8.1363065,10.0
201,M,1.475,1.15,0.3375,28.066005,11.679994,6.350288,7.5126175,9.0
202,M,1.325,0.9875,0.3125,16.34348675,6.78970525,3.572037,5.386405,8.0
203,F,1.275,1.0,0.3375,18.75319425,8.40562675,5.216308,5.2446575,15.0
204,M,1.45,1.1,0.3125,24.73493875,12.00601325,5.273007,6.87475375,9.0
205,F,1.5625,1.2,0.4125,35.777069,17.6617385,8.40562675,8.3631025,10.0
206,F,1.4125,1.1625,0.425,31.1561005,12.3320325,5.62737575,10.0640725,20.0
207,M,1.6125,1.2125,0.4,31.638042,14.47241975,6.67630725,8.9300925,12.0
208,I,1.275,0.95,0.35,17.5483405,8.54737425,3.175144,5.2446575,8.0
209,M,1.5,1.225,0.375,31.9498865,14.7133905,6.87475375,9.4970825,11.0
210,I,1.3,1.0,0.325,16.839603,6.73300625,3.912231,4.40834725,7.0
211,F,1.575,1.1875,0.4375,32.034935,14.6566915,6.95980225,10.0640725,9.0
212,I,0.6125,0.475,0.15,2.438057,1.1623295,0.52446575,0.7087375,6.0
213,I,0.525,0.3875,0.1,1.304077,0.35436875,0.18427175,0.29766975,4.0
214,M,1.55,1.125,0.3625,26.40755925,10.149121,6.293589,8.9300925,12.0
215,M,1.3125,1.025,0.3125,18.75319425,7.7961125,4.32329875,5.386405,10.0
216,I,0.925,0.6625,0.2375,7.98038425,4.26659975,1.43164975,1.927766,6.0
217,M,1.6875,1.275,0.425,39.41997975,17.293195,8.4765005,11.29727575,11.0
218,F,1.2125,0.875,0.3,13.8062065,5.499803,3.1467945,3.5436875,7.0
219,M,1.6125,1.225,0.4625,39.405805,18.5122235,9.7805775,10.77281,11.0
220,I,0.6875,0.5125,0.1625,2.721552,1.0489315,0.52446575,0.850485,7.0
221,F,1.5,1.2,0.4375,29.596878,12.11941125,7.200773,7.654365,11.0
222,F,1.3875,1.1,0.375,24.87668625,9.48290775,5.2446575,7.7961125,13.0
223,I,0.9375,0.7,0.25,7.6260155,3.1467945,1.65844575,2.4664065,6.0
224,M,1.5625,1.2,0.4125,36.95357325,13.2959155,7.41339425,11.90679,21.0
225,M,1.325,1.075,0.375,20.93610575,9.07184,4.5075705,7.087375,9.0
226,M,1.65,1.25,0.4125,36.570855,17.973583,7.47009325,8.9300925,11.0
227,I,1.125,0.8375,0.275,11.509897,4.9044635,2.48058125,3.8271825,8.0
228,I,1.2375,0.925,0.3375,15.35125425,7.087375,2.90582375,4.52174525,10.0
229,I,1.2375,0.9625,0.3375,18.14368,7.087375,4.6776675,4.9611625,9.0
230,I,1.1875,0.875,0.2625,11.2547515,5.10291,2.79242575,3.5436875,7.0
231,M,1.675,1.325,0.5125,42.93531775,16.386011,10.149121,12.3320325,15.0
232,M,1.4625,1.125,0.3875,27.71163625,11.4815475,6.22271525,8.0796075,19.0
233,I,1.225,0.9375,0.3625,15.7339725,6.13766675,3.69960975,4.819415,8.0
234,I,0.975,0.75,0.225,7.0023265,3.44446425,1.63009625,1.91359125,7.0
235,F,1.55,1.275,0.4375,34.37376875,11.75086775,7.27164675,11.623295,10.0
236,I,1.075,0.8125,0.2375,10.716111,4.46504625,1.91359125,2.9766975,8.0
237,F,1.55,1.225,0.4625,30.277266,13.96212875,6.010094,8.788345,10.0
238,F,1.375,1.0125,0.3625,24.9192105,10.61688775,6.10931725,7.5126175,16.0
239,F,1.4,1.1,0.3625,24.76328825,8.561549,4.63514325,7.087375,14.0
240,F,1.6125,1.2625,0.4125,37.32211675,17.3215445,8.561549,9.7805775,12.0
241,F,1.5125,1.225,0.45,33.12639075,12.3887315,6.30776375,10.77281,13.0
242,F,1.65,1.275,0.4375,41.8722115,16.0174675,8.57572375,12.3320325,10.0
243,F,1.3125,1.0375,0.3875,23.09066775,8.788345,4.01145425,8.3631025,13.0
244,I,0.7125,0.525,0.1625,3.38776525,1.587572,0.66621325,0.850485,5.0
245,M,1.6125,1.2375,0.475,34.6147395,15.63474925,7.4559185,11.056305,11.0
246,M,1.4875,1.125,0.4,27.158821,11.1980525,5.5281525,8.0796075,9.0
247,M,1.3375,1.0375,0.4,22.169309,8.0796075,4.762716,7.7961125,12.0
248,I,1.0125,0.775,0.225,8.618248,4.3941725,1.97029025,2.551455,8.0
249,F,1.6875,1.3125,0.4375,41.560367,18.38465075,8.77417025,11.90679,13.0
250,M,1.25,0.9,0.325,16.45688475,6.98815175,3.10427025,5.8116475,13.0
251,M,1.55,1.225,0.475,34.5013415,15.2803805,7.9095105,10.0640725,12.0
252,I,1.0,0.75,0.25,7.55514175,3.47281375,1.7293195,2.26796,7.0
253,F,1.4625,1.125,0.375,23.5584345,10.149121,5.5281525,6.80388,10.0
254,F,1.525,1.2,0.4625,35.19590425,16.839603,7.38504475,9.63883,11.0
255,I,1.0375,0.775,0.25,8.9300925,3.40194,2.11203775,2.83495,7.0
256,M,1.725,1.375,0.5,44.80638475,20.97863,10.6310625,12.757275,11.0
257,M,1.8,1.4,0.45,60.6962795,28.64716975,10.70193625,13.4660125,11.0
258,F,1.525,1.2125,0.4375,33.29648775,15.06775925,7.35669525,11.056305,10.0
259,I,1.675,1.25,0.4,34.529691,12.99824575,6.19436575,10.489315,19.0
260,M,1.2625,0.9625,0.3625,16.91047675,6.76135575,4.025629,5.10291,8.0
261,M,1.4,1.1625,0.35,26.138239,11.35397475,5.499803,7.2291225,8.0
262,M,1.5125,1.2,0.375,32.95629375,16.159215,7.41339425,8.50485,9.0
263,M,1.5375,1.2,0.4,32.034935,12.7289255,7.66853975,10.489315,16.0
264,F,1.775,1.4,0.4375,52.12055575,26.12406425,11.850091,14.74174,9.0
265,F,1.6875,1.3,0.4625,44.4236665,19.731252,9.3836845,13.60776,11.0
266,I,1.5,1.2125,0.3625,27.54153925,12.1619355,6.917278,7.7961125,9.0
267,I,1.0125,0.7625,0.2375,7.1157245,3.118445,1.984465,2.26796,9.0
268,I,0.95,0.7,0.2875,6.33611325,2.48058125,1.63009625,2.1262125,9.0
269,M,1.375,1.125,0.375,24.81998725,11.6516445,5.0745605,6.6621325,10.0
270,I,0.825,0.6125,0.2125,5.10291,2.59397925,1.11980525,1.5592225,6.0
271,M,1.45,1.1875,0.375,27.839209,12.20445975,5.68407475,8.3631025,13.0
272,F,1.375,1.0875,0.375,21.47474625,8.334753,4.97533725,5.5281525,8.0
273,M,1.5125,1.1875,0.5375,35.6920205,11.75086775,7.144074,10.489315,16.0
274,F,1.375,1.0625,0.3875,22.41027975,10.77281,5.00368675,6.3219385,9.0
275,F,1.2875,1.0625,0.3625,22.52367775,8.83086925,5.03203625,7.2291225,13.0
276,F,1.45,1.125,0.4125,27.00289875,9.6671795,4.63514325,9.7805775,21.0
277,M,1.5125,1.15,0.4,29.1716355,12.0485375,6.1518415,8.221355,9.0
